guideline_id,guideline_text,asp_rule_id,asp_rule_text,asp_rule_index,total_asp_rules,rating,comment
1.1.1,"People with obstructive jaundice

For people with obstructive jaundice and suspected pancreatic cancer, offer a pancreatic protocol CT scan before draining the bile duct",1.1.1,"offer(""pancreatic protocol CT"") :- have(""obstructive jaundice""), suspected(""pancreatic cancer"")",0,1,3,no drain bile duct
1.1.2,"People with obstructive jaundice

If the diagnosis is still unclear, offer fluorodeoxyglucose-positron emission tomography/CT (FDG-PET/CT) and/or endoscopic ultrasound (EUS) with EUS-guided tissue sampling",1.1.2,"1{offer(""FDG-PET/CT""); offer(""EUS"", ""EUS-guided tissue sampling"")}2 :- have(""obstructive jaundice""), suspected(""pancreatic cancer""), offered(""pancreatic protocol CT""), findings(""pancreatic protocol CT"", ""unclear diagnosis"")",0,1,1,
1.1.3,"People with obstructive jaundice

Take a biliary brushing for cytology if:
• endoscopic retrograde cholangiopancreatography (ERCP) is being used to relieve the biliary obstruction and
• there is no tissue diagnosis.",1.1.3,"offer(""biliary brushing"", ""cytology"") :- performing(""ERCP""), have(""obstructive jaundice""), not have(""tissue diagnosis"")",0,1,3,not to relieve obstruction
1.1.4,"People without jaundice who have pancreatic abnormalities on imaging

Offer a pancreatic protocol CT scan to people with pancreatic abnormalities but no jaundice",1.1.4,"offer(""pancreatic protocol CT"") :- have(""pancreatic abnormalities""), not have(""jaundice"")",0,1,1,
1.1.5,"People without jaundice who have pancreatic abnormalities on imaging

If the diagnosis is still unclear, offer FDG-PET/CT and/or EUS with EUS-guided tissue sampling",1.1.5,"1{offer(""FDG-PET/CT""); offer(""EUS"", ""EUS-guided tissue sampling"")}2 :- have(""pancreatic abnormalities""), not have(""jaundice""), offered(""pancreatic protocol CT""), findings(""pancreatic protocol CT"", ""unclear diagnosis"")",0,1,1,
1.1.6,"People without jaundice who have pancreatic abnormalities on imaging

If cytological or histological samples are needed, offer EUS with EUS-guided tissue sampling",1.1.6,"offer(""EUS"", ""EUS-guided tissue sampling"") :- need(""cytological samples"")",0,2,3,no jaundice or abnormalities
1.1.6,"People without jaundice who have pancreatic abnormalities on imaging

If cytological or histological samples are needed, offer EUS with EUS-guided tissue sampling",1.1.6_B,"offer(""EUS"", ""EUS-guided tissue sampling"") :- need(""histological samples"")",1,2,3,missed jaundice and abnormalities
1.1.7,"People with pancreatic cysts

Offer a pancreatic protocol CT scan or magnetic resonance cholangiopancreatography (MRI/MRCP) to people with pancreatic cysts. If more information is needed after one of these tests, offer the other one",1.1.7,"1{offer(""pancreatic protocol CT""); offer(""MRI/MRCP"")}1 :- have(""pancreatic cysts"")",0,3,1,
1.1.7,"People with pancreatic cysts

Offer a pancreatic protocol CT scan or magnetic resonance cholangiopancreatography (MRI/MRCP) to people with pancreatic cysts. If more information is needed after one of these tests, offer the other one",1.1.7_B,"offer(""MRI/MRCP"") :- have(""pancreatic cysts""), offered(""pancreatic protocol CT""), need(""more information"")",1,3,1,
1.1.7,"People with pancreatic cysts

Offer a pancreatic protocol CT scan or magnetic resonance cholangiopancreatography (MRI/MRCP) to people with pancreatic cysts. If more information is needed after one of these tests, offer the other one",1.1.7_C,"offer(""pancreatic protocol CT"") :- have(""pancreatic cysts""), offered(""MRI/MRCP""), need(""more information"")",2,3,1,
1.1.8,"People with pancreatic cysts

Refer people with any of these high-risk features for resection:
• obstructive jaundice with cystic lesions in the head of the pancreas
• enhancing solid component in the cyst
• a main pancreatic duct that is 10 mm diameter or larger.",1.1.8,"refer(""resection"", ""pancreatic cancer"") :- have(""obstructive jaundice""), have(""cystic lesions in head of pancreas"")",0,3,1,
1.1.8,"People with pancreatic cysts

Refer people with any of these high-risk features for resection:
• obstructive jaundice with cystic lesions in the head of the pancreas
• enhancing solid component in the cyst
• a main pancreatic duct that is 10 mm diameter or larger.",1.1.8_B,"refer(""resection"", ""pancreatic cancer"") :- have(""enhancing solid component"")",1,3,3,no cyst mention
1.1.8,"People with pancreatic cysts

Refer people with any of these high-risk features for resection:
• obstructive jaundice with cystic lesions in the head of the pancreas
• enhancing solid component in the cyst
• a main pancreatic duct that is 10 mm diameter or larger.",1.1.8_C,"refer(""resection"", ""pancreatic cancer"") :- have(""main pancreatic duct 10mm or larger"")",2,3,3,no cyst mentioned
1.1.9,"People with pancreatic cysts

Offer EUS after CT and MRI/MRCP if more information on the likelihood of malignancy is needed, or if it is not clear whether surgery is needed",1.1.9,"offer(""EUS"") :- have(""pancreatic cysts""), offered(""pancreatic protocol CT""), offered(""MRI/MRCP""), need(""more information on likelihood of malignancy"")",0,2,4,general ct
1.1.9,"People with pancreatic cysts

Offer EUS after CT and MRI/MRCP if more information on the likelihood of malignancy is needed, or if it is not clear whether surgery is needed",1.1.9_B,"offer(""EUS"") :- have(""pancreatic cysts""), offered(""pancreatic protocol CT""), offered(""MRI/MRCP""), need(""clarity on surgery"")",1,2,4,general ct
1.1.10,"People with pancreatic cysts

Consider fine-needle aspiration during EUS if more information on the likelihood of malignancy is needed",1.1.10,"consider(""EUS"", ""fine-needle aspiration"") :- need(""more information on likelihood of malignancy""), have(""pancreatic cysts"")",0,1,1,
1.1.11,"People with pancreatic cysts

When using fine-needle aspiration, perform carcinoembryonic antigen (CEA) assay in addition to cytology if there is sufficient sample",1.1.11,"offer(""CEA assay"") :- performing(""fine-needle aspiration""), have(""sufficient sample"")",0,1,3,no cyst mention
1.1.12,"People with pancreatic cysts

For people with cysts that are thought to be malignant, follow the recommendations on staging",,,0,0,0,
1.1.13,"People with inherited high risk of pancreatic cancer

Ask people with pancreatic cancer if any of their first-degree relatives has had it",,,0,0,0,
1.1.14,"People with inherited high risk of pancreatic cancer

Offer surveillance for pancreatic cancer to people with:
• hereditary pancreatitis and a PRSS1 mutation
• BRCA1, BRCA2, PALB2 or CDKN2A (p16) mutations, and one or more first-degree relatives with pancreatic cancer
• Peutz–Jeghers syndrome.",1.1.14,"offer(""surveillance"", ""pancreatic cancer"") :- have(""hereditary pancreatitis""), have(""PRSS1"")",0,3,1,
1.1.14,"People with inherited high risk of pancreatic cancer

Offer surveillance for pancreatic cancer to people with:
• hereditary pancreatitis and a PRSS1 mutation
• BRCA1, BRCA2, PALB2 or CDKN2A (p16) mutations, and one or more first-degree relatives with pancreatic cancer
• Peutz–Jeghers syndrome.",1.1.14_B,"offer(""surveillance"", ""pancreatic cancer"") :- 1{have(""BRCA1""); have(""BRCA2""); have(""PALB2""); have(""CDKN2A"")}4, first_degree_relative(""pancreatic cancer"", _)",1,3,1,
1.1.14,"People with inherited high risk of pancreatic cancer

Offer surveillance for pancreatic cancer to people with:
• hereditary pancreatitis and a PRSS1 mutation
• BRCA1, BRCA2, PALB2 or CDKN2A (p16) mutations, and one or more first-degree relatives with pancreatic cancer
• Peutz–Jeghers syndrome.",1.1.14_C,"offer(""surveillance"", ""pancreatic cancer"") :- have(""Peutz-Jeghers syndrome"")",2,3,1,
