guideline_id,guideline_text,asp_rule_id,asp_rule_text,asp_rule_index,total_asp_rules,rating,comment
1.1.1,"Lung and pleural cancers

Refer people using a suspected cancer pathway referral for lung cancer if they:
• have chest X-ray findings that suggest lung cancer or
• are aged 40 and over with unexplained haemoptysis.",1.1.1,"refer(""suspected cancer pathway"", ""lung cancer"") :- findings(""chest X-ray"", ""suggest lung cancer"")",0,2,1,
1.1.1,"Lung and pleural cancers

Refer people using a suspected cancer pathway referral for lung cancer if they:
• have chest X-ray findings that suggest lung cancer or
• are aged 40 and over with unexplained haemoptysis.",1.1.1_B,"refer(""suspected cancer pathway"", ""lung cancer"") :- age(X), X>=40, have(""unexplained haemoptysis"")",1,2,1,
1.1.2,"Lung and pleural cancers

Offer an urgent chest X-ray (to be done within 2 weeks) to assess for lung cancer in people aged 40 and over if they have 2 or more of the following unexplained symptoms, or if they have ever smoked and have 1 or more of the following unexplained symptoms:
• cough
• fatigue
• shortness of breath
• chest pain
• weight loss
• appetite loss.",1.1.2,"offer(""urgent chest X-ray"") :- age(X), X>=40, 2{have(""cough""); have(""fatigue""); have(""shortness of breath""); have(""chest pain""); have(""weight loss""); have(""appetite loss"")}6",0,2,1,
1.1.2,"Lung and pleural cancers

Offer an urgent chest X-ray (to be done within 2 weeks) to assess for lung cancer in people aged 40 and over if they have 2 or more of the following unexplained symptoms, or if they have ever smoked and have 1 or more of the following unexplained symptoms:
• cough
• fatigue
• shortness of breath
• chest pain
• weight loss
• appetite loss.",1.1.2_B,"offer(""urgent chest X-ray"") :- age(X), X>=40, ever_smoked, 1{have(""cough""); have(""fatigue""); have(""shortness of breath""); have(""chest pain""); have(""weight loss""); have(""appetite loss"")}6",1,2,1,
1.1.3,"Lung and pleural cancers

Consider an urgent chest X-ray (to be done within 2 weeks) to assess for lung cancer in people aged 40 and over with any of the following:
• persistent or recurrent chest infection
• finger clubbing
• supraclavicular lymphadenopathy or persistent cervical lymphadenopathy
• chest signs consistent with lung cancer
• thrombocytosis",1.1.3,"consider(""urgent chest X-ray"") :- age(X), X>=40, have(""persistent chest infection"")",0,7,1,
1.1.3,"Lung and pleural cancers

Consider an urgent chest X-ray (to be done within 2 weeks) to assess for lung cancer in people aged 40 and over with any of the following:
• persistent or recurrent chest infection
• finger clubbing
• supraclavicular lymphadenopathy or persistent cervical lymphadenopathy
• chest signs consistent with lung cancer
• thrombocytosis",1.1.3_B,"consider(""urgent chest X-ray"") :- age(X), X>=40, have(""recurrent chest infection"")",1,7,1,
1.1.3,"Lung and pleural cancers

Consider an urgent chest X-ray (to be done within 2 weeks) to assess for lung cancer in people aged 40 and over with any of the following:
• persistent or recurrent chest infection
• finger clubbing
• supraclavicular lymphadenopathy or persistent cervical lymphadenopathy
• chest signs consistent with lung cancer
• thrombocytosis",1.1.3_C,"consider(""urgent chest X-ray"") :- age(X), X>=40, have(""finger clubbing"")",2,7,1,
1.1.3,"Lung and pleural cancers

Consider an urgent chest X-ray (to be done within 2 weeks) to assess for lung cancer in people aged 40 and over with any of the following:
• persistent or recurrent chest infection
• finger clubbing
• supraclavicular lymphadenopathy or persistent cervical lymphadenopathy
• chest signs consistent with lung cancer
• thrombocytosis",1.1.3_D,"consider(""urgent chest X-ray"") :- age(X), X>=40, have(""supraclavicular lymphadenopathy"")",3,7,1,
1.1.3,"Lung and pleural cancers

Consider an urgent chest X-ray (to be done within 2 weeks) to assess for lung cancer in people aged 40 and over with any of the following:
• persistent or recurrent chest infection
• finger clubbing
• supraclavicular lymphadenopathy or persistent cervical lymphadenopathy
• chest signs consistent with lung cancer
• thrombocytosis",1.1.3_E,"consider(""urgent chest X-ray"") :- age(X), X>=40, have(""persistent cervical lymphadenopathy"")",4,7,1,
1.1.3,"Lung and pleural cancers

Consider an urgent chest X-ray (to be done within 2 weeks) to assess for lung cancer in people aged 40 and over with any of the following:
• persistent or recurrent chest infection
• finger clubbing
• supraclavicular lymphadenopathy or persistent cervical lymphadenopathy
• chest signs consistent with lung cancer
• thrombocytosis",1.1.3_F,"consider(""urgent chest X-ray"") :- age(X), X>=40, have(""chest signs consistent with lung cancer"")",5,7,1,
1.1.3,"Lung and pleural cancers

Consider an urgent chest X-ray (to be done within 2 weeks) to assess for lung cancer in people aged 40 and over with any of the following:
• persistent or recurrent chest infection
• finger clubbing
• supraclavicular lymphadenopathy or persistent cervical lymphadenopathy
• chest signs consistent with lung cancer
• thrombocytosis",1.1.3_G,"consider(""urgent chest X-ray"") :- age(X), X>=40, have(""thrombocytosis"")",6,7,1,
1.3.1,"Effectiveness of diagnostic and staging investigations

Only use sputum cytology for investigation in people with suspected lung cancer who have centrally placed nodules or masses and who decline or cannot tolerate bronchoscopy or other invasive tests",1.3.1,"use(""sputum cytology"") :- have(""suspected lung cancer""), have(""centrally placed nodules""), decline(""bronchoscopy"")",0,4,1,
1.3.1,"Effectiveness of diagnostic and staging investigations

Only use sputum cytology for investigation in people with suspected lung cancer who have centrally placed nodules or masses and who decline or cannot tolerate bronchoscopy or other invasive tests",1.3.1_B,"use(""sputum cytology"") :- have(""suspected lung cancer""), have(""centrally placed nodules""), cannot_tolerate(""bronchoscopy"")",1,4,2,Should be not
1.3.1,"Effectiveness of diagnostic and staging investigations

Only use sputum cytology for investigation in people with suspected lung cancer who have centrally placed nodules or masses and who decline or cannot tolerate bronchoscopy or other invasive tests",1.3.1_C,"use(""sputum cytology"") :- have(""suspected lung cancer""), have(""centrally placed nodules""), decline(""invasive tests"")",2,4,1,
1.3.1,"Effectiveness of diagnostic and staging investigations

Only use sputum cytology for investigation in people with suspected lung cancer who have centrally placed nodules or masses and who decline or cannot tolerate bronchoscopy or other invasive tests",1.3.1_D,"use(""sputum cytology"") :- have(""suspected lung cancer""), have(""centrally placed nodules""), cannot_tolerate(""invasive tests"")",3,4,2,Should be not
1.3.2,"Effectiveness of diagnostic and staging investigations

Offer people with known or suspected lung cancer a contrast-enhanced chest CT scan to further the diagnosis and stage the disease. Include the liver, adrenals and lower neck in the scan. The guideline committee also recognised that contrast medium should only be given with caution to people with known renal impairment",1.3.2,"offer(""contrast-enhanced chest CT"") :- have(""suspected lung cancer"")",0,2,3,Missing liver etc
1.3.2,"Effectiveness of diagnostic and staging investigations

Offer people with known or suspected lung cancer a contrast-enhanced chest CT scan to further the diagnosis and stage the disease. Include the liver, adrenals and lower neck in the scan. The guideline committee also recognised that contrast medium should only be given with caution to people with known renal impairment",1.3.2_B,"offer(""contrast-enhanced chest CT"") :- have(""lung cancer"")",1,2,3,Missing anotomical part
1.3.3,"Effectiveness of diagnostic and staging investigations

When assessing mediastinal and chest wall invasion:
• be aware that CT alone may not be reliable
• consider other techniques such as ultrasound if there is doubt
• be aware that surgical assessment may be necessary if there are no contraindications to resection.",,,0,0,0,
1.3.4,"Effectiveness of diagnostic and staging investigations

Ensure that all people with lung cancer who could potentially have treatment with curative intent are offered positron-emission tomography CT (PET-CT) before treatment",1.3.4,"offer(""PET-CT"") :- have(""lung cancer""), treatment_intent(""curative"")",0,1,1,
1.3.5,"Effectiveness of diagnostic and staging investigations

Every cancer alliance should have a system of rapid access to PET-CT scanning for eligible people",,,0,0,0,
1.3.6,"Effectiveness of diagnostic and staging investigations

Do not routinely use MRI to assess the stage of the primary tumour (T-stage) in non-small-cell lung cancer (NSCLC)",1.3.6,":- use(""MRI""), assess(""T-stage""), have(""NSCLC""), not necessary",0,1,4,Not sure where necessary has come from
1.3.7,"Effectiveness of diagnostic and staging investigations

Use MRI when necessary to assess the extent of disease, for people with superior sulcus tumours",1.3.7,"use(""MRI"") :- have(""superior sulcus tumours""), assess(""extent of disease"")",0,1,1,
1.3.8,"Effectiveness of diagnostic and staging investigations

Offer endobronchial ultrasound-guided transbronchial needle aspiration (EBUSTBNA) for biopsy of paratracheal and peri-bronchial intra-parenchymal lung lesions",1.3.8,"offer(""EBUS-TBNA"") :- have(""paratracheal lesions"")",0,2,3,Missing biopsy
