guideline_id,guideline_text,asp_rule_id,asp_rule_text,asp_rule_index,total_asp_rules,rating,comment
1.1.1,"People with obstructive jaundice

For people with obstructive jaundice and suspected pancreatic cancer, offer a pancreatic protocol CT scan before draining the bile duct",1.1.1,"offer(""pancreatic protocol CT"") :- have(""obstructive jaundice""), suspected(""pancreatic cancer""), not drain(""bile duct"")",0,1,2,Probably should not have 'not' and split into another rule
1.1.2,"People with obstructive jaundice

If the diagnosis is still unclear, offer fluorodeoxyglucose-positron emission tomography/CT (FDG-PET/CT) and/or endoscopic ultrasound (EUS) with EUS-guided tissue sampling",1.1.2,"1{offer(""FDG-PET/CT""); offer(""EUS"", ""EUS-guided tissue sampling"")}2 :- have(""obstructive jaundice""), suspected(""pancreatic cancer""), offered(""pancreatic protocol CT""), findings(""pancreatic protocol CT"", ""unclear diagnosis"")",0,1,1,
1.1.3,"People with obstructive jaundice

Take a biliary brushing for cytology if:
• endoscopic retrograde cholangiopancreatography (ERCP) is being used to relieve the biliary obstruction and
• there is no tissue diagnosis.",1.1.3,"take(""biliary brushing"", ""cytology"") :- relieve(""biliary obstruction""), have(""no tissue diagnosis"")",0,1,3,ERCP is missing
1.1.4,"People without jaundice who have pancreatic abnormalities on imaging

Offer a pancreatic protocol CT scan to people with pancreatic abnormalities but no jaundice",1.1.4,"offer(""pancreatic protocol CT"") :- have(""pancreatic abnormalities""), not have(""jaundice"")",0,1,1,
1.1.5,"People without jaundice who have pancreatic abnormalities on imaging

If the diagnosis is still unclear, offer FDG-PET/CT and/or EUS with EUS-guided tissue sampling",1.1.5,"1{offer(""FDG-PET/CT""); offer(""EUS"", ""EUS-guided tissue sampling"")}2 :- have(""pancreatic abnormalities""), not have(""jaundice""), offered(""pancreatic protocol CT""), findings(""pancreatic protocol CT"", ""unclear diagnosis"")",0,1,1,
1.1.6,"People without jaundice who have pancreatic abnormalities on imaging

If cytological or histological samples are needed, offer EUS with EUS-guided tissue sampling",1.1.6,"offer(""EUS"", ""EUS-guided tissue sampling"") :- need(""cytological or histological samples"")",0,1,1,
1.1.7,"People with pancreatic cysts

Offer a pancreatic protocol CT scan or magnetic resonance cholangiopancreatography (MRI/MRCP) to people with pancreatic cysts. If more information is needed after one of these tests, offer the other one",1.1.7,"1{offer(""pancreatic protocol CT""); offer(""MRI/MRCP"")}1 :- have(""pancreatic cysts"")",0,3,1,
1.1.7,"People with pancreatic cysts

Offer a pancreatic protocol CT scan or magnetic resonance cholangiopancreatography (MRI/MRCP) to people with pancreatic cysts. If more information is needed after one of these tests, offer the other one",1.1.7_B,"offer(""MRI/MRCP"") :- have(""pancreatic cysts""), offered(""pancreatic protocol CT""), need(""more information"")",1,3,1,
1.1.7,"People with pancreatic cysts

Offer a pancreatic protocol CT scan or magnetic resonance cholangiopancreatography (MRI/MRCP) to people with pancreatic cysts. If more information is needed after one of these tests, offer the other one",1.1.7_C,"offer(""pancreatic protocol CT"") :- have(""pancreatic cysts""), offered(""MRI/MRCP""), need(""more information"")",2,3,1,
1.1.8,"People with pancreatic cysts

Refer people with any of these high-risk features for resection:
• obstructive jaundice with cystic lesions in the head of the pancreas
• enhancing solid component in the cyst
• a main pancreatic duct that is 10 mm diameter or larger.",1.1.8,"refer(""resection"") :- have(""obstructive jaundice""), have(""cystic lesions in the head of the pancreas"")",0,3,1,
1.1.8,"People with pancreatic cysts

Refer people with any of these high-risk features for resection:
• obstructive jaundice with cystic lesions in the head of the pancreas
• enhancing solid component in the cyst
• a main pancreatic duct that is 10 mm diameter or larger.",1.1.8_B,"refer(""resection"") :- have(""enhancing solid component in the cyst"")",1,3,1,
